hidden_dim1,hidden_dim2,num_layers,lr,batch_size,train_loss,test_loss,mae
64,16,1,0.0001,16,0.07437487120124323,0.06642099368669417,10.240573514395285
64,16,1,0.0001,32,0.03083033565447101,0.03298782311258432,7.8855890919593765
64,16,1,0.0001,64,0.01798525880996769,0.01966914896974745,5.4296589867712335
64,16,1,0.001,16,0.023007272850834037,0.023223617564603363,6.13270592556201
64,16,1,0.001,32,0.01767856999086674,0.017432062891716865,5.0652901648219935
64,16,1,0.001,64,0.018075264878367466,0.018059614721847618,5.220188026550707
64,16,1,0.01,16,0.03779094501352701,0.03637396250648991,8.151800201285118
64,16,1,0.01,32,0.03882888347785818,0.037128123039703656,8.221631570327942
64,16,1,0.01,64,0.04026468881008933,0.03531594475245346,8.064874717250403
64,16,2,0.0001,16,0.02159806445261331,0.021938696878192866,6.179055322942775
64,16,2,0.0001,32,0.014050976943245025,0.013727310877900733,4.73448941280377
64,16,2,0.0001,64,0.015123281015917821,0.01516787347930443,4.997174936434333
64,16,2,0.001,16,0.01293513581507885,0.011912622377681344,4.435143035223543
64,16,2,0.001,32,0.013358016194307494,0.012633688251852342,4.485487993670346
64,16,2,0.001,64,0.01323587570499751,0.012230340578674299,4.442325618826567
64,16,2,0.01,16,0.04148656113297154,0.03838378942126165,8.339806233183786
64,16,2,0.01,32,0.040759314616246385,0.03751404352648103,8.275660495543496
64,16,2,0.01,64,0.04143011858152439,0.038385780264987894,8.339977787401242
64,16,3,0.0001,16,0.014879196775374843,0.014343698493852888,4.8071751351368
64,16,3,0.0001,32,0.03610891439631337,0.03579064582616253,7.639226495894686
64,16,3,0.0001,64,0.01660960660789345,0.016580701107159257,5.25598193070285
64,16,3,0.001,16,0.010537042062414067,0.010258287459652385,4.0136503220225475
64,16,3,0.001,32,0.0100075363759155,0.010103131851950742,4.047935215110297
64,16,3,0.001,64,0.011358405616073335,0.010844635372252567,4.267820896942488
64,16,3,0.01,16,0.041408965705074574,0.038386260827436396,8.340026857334829
64,16,3,0.01,32,0.04139890548228566,0.03836985693677612,8.338662899788845
64,16,3,0.01,64,0.0414138659618571,0.03838487226596993,8.33990296035201
64,32,1,0.0001,16,0.017105762472712113,0.016962067537900548,5.08738280894574
64,32,1,0.0001,32,0.03867431814512594,0.03823302370374617,7.959791998751045
64,32,1,0.0001,64,0.030987514418300464,0.033470856967260654,7.921140858964801
64,32,1,0.001,16,0.018226780568610858,0.01759990650917525,5.111407655077121
64,32,1,0.001,32,0.01681753243777718,0.01664152270709367,4.8646013861247175
64,32,1,0.001,64,0.01783401139342618,0.016875598293668387,4.955909127993525
64,32,1,0.01,16,0.04175208691924892,0.03813057287555674,8.317377020107104
64,32,1,0.01,32,0.04128967064733062,0.03830956105831201,8.333266304400215
64,32,1,0.01,64,0.0414088774889789,0.038383571036240974,8.3397874782364
64,32,2,0.0001,16,0.022253191243612865,0.02050993410344033,5.7684222866213615
64,32,2,0.0001,32,0.0158417370371378,0.017193571730192914,5.37990665991229
64,32,2,0.0001,64,0.02059800398683613,0.021011096050800836,5.793077297780361
64,32,2,0.001,16,0.01269413039973769,0.012429116926479923,4.405906409769223
64,32,2,0.001,32,0.01253230402073085,0.012261151341195016,4.433957317027351
64,32,2,0.001,64,0.01192874829933719,0.012238032457864156,4.31353822434229
64,32,2,0.01,16,0.045146970065626124,0.03780871965800938,8.324880930846076
64,32,2,0.01,32,0.04130974028748079,0.037046317355302366,8.231822971066741
64,32,2,0.01,64,0.04140755794738811,0.03838522545993328,8.339937287841257
64,32,3,0.0001,16,0.013916781365545722,0.012834904664803458,4.56253529641489
64,32,3,0.0001,32,0.012335306966086961,0.012688526888782888,4.451747280977107
64,32,3,0.0001,64,0.012897448945037328,0.012639527527979859,4.526985571799801
64,32,3,0.001,16,0.010031463258360294,0.011856661036448635,4.503756964955726
64,32,3,0.001,32,0.00953260247177022,0.009203912234743651,3.739990428153699
64,32,3,0.001,64,0.010314637985299316,0.009627586397666322,3.8891879831113645
64,32,3,0.01,16,0.03956376234975343,0.037167808334545596,8.234010527717153
64,32,3,0.01,32,0.04152740179968214,0.03838029803465242,8.339506436565365
64,32,3,0.01,64,0.04110951099514228,0.038146435293247516,8.3222279457442
64,64,1,0.0001,16,0.0777752751031575,0.06648759873907852,9.70176508010415
64,64,1,0.0001,32,0.052704315866684656,0.04716772606353397,8.72800919457265
64,64,1,0.0001,64,0.0196766544087622,0.02086449753108394,5.587548852328047
64,64,1,0.001,16,0.017051668454704634,0.016782684783127323,4.883860715221381
64,64,1,0.001,32,0.017564962273896187,0.017351584433092048,4.944200428356522
64,64,1,0.001,64,0.017862762886867986,0.01806783590607507,5.128175828116509
64,64,1,0.01,16,0.03750611597906208,0.036013518632187144,8.125817980274553
64,64,1,0.01,32,0.04137331882206713,0.038344589062035084,8.336282171341773
64,64,1,0.01,64,0.054094188823746364,0.03806656004820505,8.29836029412879
64,64,2,0.0001,16,0.015154549017385707,0.015333345752087947,4.918445445994384
64,64,2,0.0001,32,0.013540945260129014,0.013014900528461389,4.6840381969464415
64,64,2,0.0001,64,0.015043639397258805,0.016589918690126226,5.136028262088792
64,64,2,0.001,16,0.013058250548592845,0.012365523766240349,4.453079233226176
64,64,2,0.001,32,0.012734922102036698,0.01270309669147853,4.459641245560579
64,64,2,0.001,64,0.011995238562424978,0.011829058654889788,4.32146316755193
64,64,2,0.01,16,0.03927403646190473,0.03694350156001747,8.197186556319549
64,64,2,0.01,32,0.04141475091296467,0.03838352798281804,8.339761970807077
64,64,2,0.01,64,0.04140504589049868,0.038307154905455915,8.333315523269503
64,64,3,0.0001,16,0.014700313611464993,0.014787965929945525,4.927974572920244
64,64,3,0.0001,32,0.01069050661766586,0.010394904473998948,4.079669215235039
64,64,3,0.0001,64,0.010159183165715,0.010421960908190711,4.100970520165609
64,64,3,0.001,16,0.009515182403949359,0.009692157191001688,3.9050115851169025
64,64,3,0.001,32,0.009655299831227567,0.009297441286237343,3.677171558825838
64,64,3,0.001,64,0.009647257401814043,0.011585683410015443,4.333128895953351
64,64,3,0.01,16,0.041441407933821034,0.03833609604803116,8.33549800953533
64,64,3,0.01,32,0.04155212558953529,0.0383800279106135,8.339469349385155
64,64,3,0.01,64,0.041447143146737676,0.038384536534304854,8.339872956378606
128,16,1,0.0001,16,0.03155973941199685,0.03540352176186507,7.893743510043215
128,16,1,0.0001,32,0.08883105835220853,0.08483972886334294,12.717618467965345
128,16,1,0.0001,64,0.018596905263909266,0.019114894751945267,5.509937006612107
128,16,1,0.001,16,0.01839692473202903,0.017503483225996402,5.148119273103987
128,16,1,0.001,32,0.017274450143045985,0.017312479443321732,5.0144882519271645
128,16,1,0.001,64,0.01804531396422637,0.01809046613862333,5.2558973615064755
128,16,1,0.01,16,0.04128748657756938,0.03822854820274464,8.325402554052316
128,16,1,0.01,32,0.04136338249317121,0.03834522289790861,8.335473993653267
128,16,1,0.01,64,0.037058610181563374,0.03523732400904207,8.054976842498897
128,16,2,0.0001,16,0.013481109980379278,0.013877417138048811,4.7052022034187395
128,16,2,0.0001,32,0.01753392180203984,0.017815811782265486,5.431911955763257
128,16,2,0.0001,64,0.029771876606652564,0.02878905813533651,7.059168314126101
128,16,2,0.001,16,0.012970296047688996,0.012165266757264086,4.396002964165365
128,16,2,0.001,32,0.012490323950826634,0.012668151246464771,4.454148631543428
128,16,2,0.001,64,0.01289362687607362,0.0128232360534046,4.596359561489799
128,16,2,0.01,16,0.041411230093774086,0.038385994884225984,8.34000909894251
128,16,2,0.01,32,0.04129448527968972,0.03813661678451235,8.316474936267802
128,16,2,0.01,64,0.016252288998160613,0.015608464651133703,5.110409701544999
128,16,3,0.0001,16,0.015153093201164258,0.015502415263377454,5.08671571443454
128,16,3,0.0001,32,0.010683018990278325,0.011334668374215455,4.305542127648232
128,16,3,0.0001,64,0.010260625178747571,0.010548382906405173,4.134020286185347
128,16,3,0.001,16,0.009789664332648038,0.010313570550035523,3.9518861336183666
128,16,3,0.001,32,0.009830488947085284,0.010404193424619734,4.122738266255666
128,16,3,0.001,64,0.010296135597551862,0.009775204087971993,3.953711868500865
128,16,3,0.01,16,0.041449650979595756,0.03838471454851653,8.339900156856432
128,16,3,0.01,32,0.04151106930892568,0.03813612551185424,8.31783169233451
128,16,3,0.01,64,0.041406943147259005,0.038385082370318145,8.339921945273646
128,32,1,0.0001,16,0.09578560048948383,0.09239024021055388,12.49815172529062
128,32,1,0.0001,32,0.023349129226532015,0.022526414143731414,5.834295752881069
128,32,1,0.0001,64,0.020709029800904905,0.021925632760900517,5.745986944183443
128,32,1,0.001,16,0.023226259423857504,0.022895266737222024,6.098825807408349
128,32,1,0.001,32,0.01697941489334478,0.017237426609347534,4.963837533410696
128,32,1,0.001,64,0.017592199955293347,0.0167051909805235,4.866952199302737
