hidden_dim,num_layers,lr,batch_size,train_loss,train_accuracy,train_f_score,test_loss,test_accuracy,test_f_score,mae
64,1,0.0001,64,0.9870978427714989,0.4,0.3388235294117647,1.2738951353923134,0.39327385037748797,0.0,3.7039945092656144
64,1,0.001,16,0.9433401930527608,0.4,0.3388235294117647,1.2406397112037824,0.42141386410432397,0.912655971479501,3.4504472660718375
64,1,0.001,32,0.9414203258160033,0.4,0.3388235294117647,1.2369497366573499,0.4186684969114619,0.912655971479501,3.4688202547090676
64,1,0.001,64,0.9437126709463818,0.4,0.3388235294117647,1.245356892761977,0.4172958133150309,0.912655971479501,3.4835186456188514
64,1,0.01,16,0.8300520647418955,0.4,0.23703703703703702,1.2359276388002478,0.4728894989704873,0.8784313725490196,3.0315431251429876
64,1,0.01,32,0.8455965567807682,0.3333333333333333,0.23703703703703702,1.2770947684412417,0.45847632120796156,0.8500948766603416,3.163828643331046
64,1,0.01,64,0.8174037286818353,0.3333333333333333,0.44666666666666666,1.229809176662694,0.4735758407687028,0.8500948766603416,3.0058209410508656
64,2,0.0001,16,0.9346869952691709,0.3333333333333333,0.31333333333333335,1.26725718508596,0.3925875085792725,0.9108159392789374,3.6635739342637077
64,2,0.0001,32,0.9397518458913584,0.4,0.31333333333333335,1.2818707422069882,0.3891557995881949,0.11072664359861592,3.6892961183558306
64,2,0.0001,64,0.9272647617293186,0.3333333333333333,0.31333333333333335,1.2776210606098175,0.3891557995881949,0.9108159392789374,3.681946922900938
64,2,0.001,16,0.8256115522540983,0.3333333333333333,0.23703703703703702,1.255674395872199,0.4776938915579959,0.8823529411764706,2.972749561503851
64,2,0.001,32,0.8260917751515497,0.3333333333333333,0.23703703703703702,1.2641227336033531,0.4722031571722718,0.8823529411764706,3.0021463433234197
64,2,0.001,64,0.9298373304429601,0.3333333333333333,0.23703703703703702,1.2794208837592083,0.4138641043239533,0.8823529411764706,3.472494852436514
64,2,0.01,16,0.9043622814892419,0.3333333333333333,0.23703703703703702,1.3135219838308252,0.44680851063829785,0.8823529411764706,3.1969000228780597
64,2,0.01,32,0.8797110428249901,0.3333333333333333,0.4242424242424242,1.3584767217221467,0.425531914893617,0.8823529411764706,3.3438839319759013
64,2,0.01,64,0.8439281449291876,0.4666666666666667,0.23703703703703702,1.3356268470701964,0.4488675360329444,0.8823529411764706,3.182201631968276
64,3,0.0001,16,0.9346373110521035,0.3333333333333333,0.31333333333333335,1.2754826027414072,0.39670555936856555,0.8823529411764706,3.6231533592618015
64,3,0.0001,32,0.936756626830075,0.3333333333333333,0.31333333333333335,1.2676442874514537,0.41111873713109126,0.8823529411764706,3.5349630138030963
64,3,0.0001,64,0.9390484277016479,0.3333333333333333,0.31333333333333335,1.2661011154237,0.41455044612216885,0.8823529411764706,3.523939220620758
